game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Digimon World DS,866,3.82,499,Just Right,66.56,40.6,171,341,58,DS
Digimon Story: Lost Evolution,122,3.98,81,Just Right,64.71,49.7,20,31,40,DS
Digimon World: Dusk,1032,3.93,617,Just Right,69.52,46.2,190,413,59,DS
Digimon World: Dawn,1058,3.93,650,Just Right,69.03,48.4,210,425,59,DS
Digimon Story: Super Xros Wars Blue,58,3.53,34,Just Right,64.29,60,12,15,54,DS
Digimon Story: Super Xros Wars Red,52,3.9,25,Just Right-Tough,57.14,68.3,8,10,45,DS
Dinosaur King,143,3.83,83,Just Right,44.74,43.3,19,34,37,DS
Dokapon Journey,159,3.66,71,Just Right,52.78,34.3,18,32,39,DS
Dragon Ball Z: Attack of the Saiyans,625,3.96,354,Just Right,72.3,29.5,140,212,54,DS
Dragon Quest IV: Chapters of the Chosen,3185,4.09,1559,Just Right,74.41,42.7,572,1139,61,DS
Dragon Quest IX: Sentinels of the Starry Skies,6504,4.31,4094,Just Right,70.06,67.1,1577,2400,54,DS
Dragon Quest Monsters: Joker,1753,3.87,817,Just Right,62.57,48.2,235,503,50,DS
Dragon Quest Monsters: Joker 2,1121,4.12,613,Just Right,66.97,46.7,235,319,53,DS
Dragon Quest Monsters 2: Joker 2 Professional,74,3.98,49,Just Right-Tough,35.71,62.5,19,24,62,DS
Dragon Quest V: Hand of the Heavenly Bride,2922,4.31,1483,Just Right,77.85,47.7,570,972,58,DS
Dragon Quest VI: Realms of Revelation,2303,4.1,981,Just Right,72.98,54.2,369,570,51,DS
Dragon Tamer: Sound Spirit,15,3.75,8,Tough-Unforgiving,57.14,80,2,3,33,DS
Dramatic Dungeon: Sakura Taisen - Kimi Arugatame,24,3.68,11,Just Right-Tough,75,30,2,4,50,DS
Dungeon Explorer: Warriors of Ancient Arts,194,3.35,79,Just Right,55.88,22.3,20,35,37,DS
Master of the Monster Lair,257,3.67,103,Just Right,66.67,34.3,15,22,18,DS
Dungeon of Windaria,17,3.75,6,Just Right-Tough,60,35,4,4,80,DS
Egg Monster Hero,31,3.7,15,Tough-Unforgiving,44.44,48,5,6,43,DS
Element Hunter,24,3.67,12,Just Right,80,30,4,6,46,DS
Elminage DS Remix: Yami no Miko to Kamigami no Yubiwa,10,3.7,5,Tough-Unforgiving,66.67,12,1,1,33,DS
Elminage II DS Remix: Sousei no Megami to Unmei no Daichi,9,3.83,6,Just Right-Tough,40,30.3,2,2,40,DS
Lufia: Curse of the Sinistrals,671,3.57,293,Just Right,66.87,28.4,86,150,44,DS
Etrian Odyssey,1601,3.85,830,Tough,58.56,60.2,224,375,38,DS
Etrian Odyssey II: Heroes of Lagaard,1378,4.03,735,Tough,60.55,60.7,168,271,32,DS
Etrian Odyssey III: The Drowned City,1279,4.21,695,Tough,64.32,70.9,222,290,39,DS
Fighting Fantasy: The Warlock of Firetop Mountain,109,3.88,52,Just Right-Tough,47.62,35.2,12,21,37,DS
Final Fantasy Crystal Chronicles: Echoes of Time,1667,3.84,783,Just Right,69.78,34.4,206,486,49,DS
Final Fantasy Crystal Chronicles: Ring of Fates,2220,3.66,1030,Just Right,66.37,31.1,271,693,53,DS
Final Fantasy III,7937,3.75,4332,Just Right-Tough,53.34,44.7,1109,2412,46,DS
Final Fantasy IV,6745,4.19,3794,Just Right-Tough,49.83,47.3,1042,2213,49,DS
Final Fantasy: The 4 Heroes of Light,2003,3.64,907,Just Right-Tough,52.71,44.6,224,360,32,DS
Fossil Fighters: Champions,308,4.18,202,Just Right,68.87,38,97,131,73,DS
Fossil League: Dino Tournament Championship,70,3.27,31,Easy-Just Right,52.94,32.6,10,13,45,DS
From the Abyss,328,3.16,119,Easy-Just Right,50.79,17.8,38,74,49,DS
Fushigi no Dungeon: Fuurai no Shigen 4 Plus - Kami no Hitomi to Akuma no Heso,18,3.83,9,Tough-Unforgiving,71.43,60,4,4,50,DS
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,23,3.88,16,Tough-Unforgiving,71.43,76.1,10,11,69,DS
Mystery Dungeon: Shiren the Wanderer,396,3.89,161,Tough-Unforgiving,50.62,51.7,36,68,33,DS
Fushigi no Dungeon: Fuurai no Shigen DS 2 - Sabaku no Majou,16,3.56,9,Just Right-Tough,57.14,41.7,5,5,63,DS
Game Book DS: Aquarian Age Perpetual Period,9,4,4,Tough,75,30,2,2,40,DS
Suikoden Tierkreis,1489,3.92,830,Just Right,65.61,48.1,246,471,49,DS
